rank,name,lowercase,ssa_us_count,source
2298,Bran,bran,232,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2299,Loie,loie,232,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2300,Sady,sady,232,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2302,Tyia,tyia,232,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2303,Alem,alem,231,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2304,Alic,alic,231,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2305,Kmya,kmya,231,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2307,Noga,noga,231,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2308,Riad,riad,231,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2309,Arby,arby,230,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2310,Bird,bird,230,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2311,Ilai,ilai,230,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2312,Nare,nare,230,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2313,Irva,irva,229,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2314,Jasa,jasa,229,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2315,Jiah,jiah,229,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2316,Kert,kert,229,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2317,Miia,miia,229,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2318,Rhet,rhet,229,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2319,Elek,elek,228,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2320,Keny,keny,228,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2321,Rahi,rahi,228,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2322,Xyon,xyon,228,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2323,Aara,aara,227,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2324,Espn,espn,227,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2325,Peng,peng,227,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2326,Jady,jady,226,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2327,Olia,olia,226,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2328,Jmya,jmya,225,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2329,Mads,mads,225,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2330,Neco,neco,225,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2331,Deke,deke,224,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2332,Jasn,jasn,224,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2333,Jeet,jeet,224,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2334,Nica,nica,224,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2335,Pike,pike,224,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2336,Taje,taje,224,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2337,Vici,vici,224,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2338,Virl,virl,223,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2339,Anav,anav,222,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2340,Faun,faun,222,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2341,Ioma,ioma,222,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2342,Kano,kano,222,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2343,Mang,mang,222,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2344,Hiya,hiya,221,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2345,Jozi,jozi,221,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2346,Kesi,kesi,221,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2347,Seve,seve,221,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2348,Tung,tung,221,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2349,Yogi,yogi,221,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2350,Amai,amai,220,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2351,Roth,roth,220,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2352,Sulo,sulo,220,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2353,Ngan,ngan,219,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2354,Abed,abed,218,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2357,Beni,beni,217,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2358,Czar,czar,217,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2359,Prim,prim,217,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2360,Adja,adja,216,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2361,Danh,danh,216,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2362,Luma,luma,216,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2363,Rino,rino,216,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2364,Seon,seon,216,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2365,Xylo,xylo,216,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2366,Ante,ante,215,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2367,Hady,hady,215,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2368,Ling,ling,215,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2369,Kden,kden,214,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2370,Saia,saia,214,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2371,Sava,sava,214,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2372,Cohl,cohl,213,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2373,Dore,dore,213,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2374,Kurk,kurk,213,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2375,Sema,sema,213,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2376,Ynez,ynez,213,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2377,Alok,alok,212,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2378,Atul,atul,212,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2379,Bard,bard,212,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2380,Savi,savi,212,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2381,Shar,shar,212,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2382,Tyke,tyke,212,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2383,Dyon,dyon,211,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2384,Edon,edon,211,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2385,Iara,iara,211,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2386,Susa,susa,211,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2387,Zaim,zaim,211,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2388,Akul,akul,210,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2389,Doyl,doyl,210,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2390,Shep,shep,210,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2391,Vere,vere,210,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2392,Hind,hind,209,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2393,Iyah,iyah,209,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2394,Jhan,jhan,209,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2395,Maly,maly,209,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2396,Casy,casy,208,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2397,Haja,haja,208,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2398,Saed,saed,208,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2399,Truu,truu,208,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2400,Acsa,acsa,207,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2401,Avya,avya,207,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2402,Esti,esti,207,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2403,Lyne,lyne,207,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2404,Yury,yury,207,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2405,Elky,elky,206,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2406,Oryn,oryn,206,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2407,Sumi,sumi,206,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2408,Miel,miel,205,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2409,Roye,roye,205,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2410,Vala,vala,205,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2411,Veto,veto,205,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2412,Aily,aily,204,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2413,Dali,dali,204,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2414,Mayu,mayu,204,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2415,Vayu,vayu,204,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2416,Anup,anup,203,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2417,Gift,gift,203,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2418,Jinx,jinx,203,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2419,Jnae,jnae,203,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2421,Aimi,aimi,202,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2422,Gyan,gyan,202,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2423,Nyja,nyja,202,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2424,Swan,swan,202,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2425,Wave,wave,202,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2426,Leba,leba,201,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2427,Owin,owin,201,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2428,Afua,afua,200,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2429,Carr,carr,200,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2430,Yony,yony,200,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2431,Azam,azam,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2432,Bana,bana,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2433,Clif,clif,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2434,Irys,irys,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2435,Linc,linc,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2436,Sota,sota,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2437,Urie,urie,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2438,Wyat,wyat,199,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2439,Afra,afra,198,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2440,Amro,amro,198,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2442,Areg,areg,198,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2444,Ariv,ariv,198,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2445,Edis,edis,198,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2446,Eria,eria,198,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2447,Cabe,cabe,197,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2448,Etai,etai,197,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2449,Maie,maie,197,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2450,Tell,tell,197,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2451,Yuan,yuan,197,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2452,Lilu,lilu,196,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2453,Raad,raad,196,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2454,Riko,riko,196,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2455,Eiko,eiko,195,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2456,Evea,evea,195,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2457,Izen,izen,195,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2458,Jove,jove,195,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2459,Nole,nole,195,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2460,Wana,wana,195,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2461,Anda,anda,194,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2462,Arth,arth,194,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2463,Kysa,kysa,194,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2464,Nalu,nalu,194,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2466,Trig,trig,194,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2467,Bera,bera,193,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2468,Aury,aury,192,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2469,Caya,caya,192,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2470,Ekin,ekin,192,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2471,Kayd,kayd,192,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2472,Bona,bona,191,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2473,Deah,deah,191,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2474,Imir,imir,191,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2475,Tris,tris,191,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2476,Ndea,ndea,190,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2477,Nene,nene,190,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2478,Shir,shir,190,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2479,Caty,caty,189,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2480,Enma,enma,189,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2481,Otie,otie,189,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2482,Saje,saje,189,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2483,Ariz,ariz,188,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2484,Birl,birl,188,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2486,Holy,holy,188,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2487,Rafa,rafa,188,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2488,Seri,seri,188,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2489,Wing,wing,188,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2490,Adea,adea,187,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2491,Cauy,cauy,187,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2492,Didi,didi,187,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2493,Ilay,ilay,187,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2494,Ryer,ryer,187,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2495,Seda,seda,187,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2496,Wong,wong,187,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2497,Anju,anju,186,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2498,Duha,duha,186,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2499,Odel,odel,186,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2500,Doak,doak,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2501,Elye,elye,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2503,Gwin,gwin,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2504,Ihan,ihan,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2505,Keen,keen,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2506,Kema,kema,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2507,Tura,tura,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2508,Vali,vali,185,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2509,Amea,amea,184,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2510,Nyko,nyko,184,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2511,Nyna,nyna,184,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2512,Onya,onya,184,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2513,Zeya,zeya,184,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2514,Icis,icis,183,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2515,Araf,araf,182,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2516,Aydn,aydn,182,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2517,Camy,camy,182,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2518,Jadi,jadi,182,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2519,Pama,pama,182,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2520,Enas,enas,181,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2521,Imre,imre,181,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2522,Maat,maat,181,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2523,Ryun,ryun,181,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2524,Tema,tema,181,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2525,Tyde,tyde,181,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2526,Zale,zale,181,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2527,Mays,mays,180,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2528,Xoie,xoie,180,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2529,Edit,edit,178,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2530,Iwao,iwao,178,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2531,Jerl,jerl,178,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2532,Jnya,jnya,178,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2533,Meha,meha,178,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2534,Rual,rual,178,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2535,Azar,azar,177,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2536,Eeva,eeva,177,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2537,Izic,izic,177,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2538,Syla,syla,177,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2539,Vung,vung,177,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2540,Alif,alif,176,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2541,Dama,dama,176,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2542,Kita,kita,176,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2543,Koki,koki,176,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2544,Meli,meli,176,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2545,Tane,tane,176,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2546,Xola,xola,176,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2547,Aava,aava,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2548,Bowe,bowe,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2549,Garl,garl,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2550,Lima,lima,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2551,Mija,mija,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2552,Suvi,suvi,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2553,Vyla,vyla,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2554,Youa,youa,175,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2555,Itay,itay,174,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2556,Kron,kron,174,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2557,Nimo,nimo,174,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2558,Aqua,aqua,173,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2559,Caid,caid,173,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2560,Edye,edye,173,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2561,Jaid,jaid,173,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2562,Libi,libi,173,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2563,Nefi,nefi,173,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2564,Pura,pura,173,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2565,Adie,adie,172,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2566,Jode,jode,171,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2567,Kito,kito,171,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2568,Larz,larz,171,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2569,Waco,waco,171,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2570,Arpi,arpi,170,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2571,Elaf,elaf,170,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2572,Oney,oney,170,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2573,Toua,toua,170,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2574,Coal,coal,169,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2575,Idil,idil,169,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2576,Jeda,jeda,169,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2577,Karn,karn,169,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2578,Sten,sten,169,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2579,Trew,trew,169,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2580,Aser,aser,168,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2581,Dary,dary,168,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2582,Zira,zira,168,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2584,Alle,alle,167,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2585,Avey,avey,167,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2586,Elvy,elvy,167,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2587,Jash,jash,167,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2588,Moua,moua,167,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2589,Suan,suan,167,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2590,Zylo,zylo,167,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2592,Asar,asar,166,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2593,Loda,loda,166,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2594,Tarl,tarl,166,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2595,Thos,thos,166,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2596,Ejay,ejay,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2597,Gali,gali,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2598,Hema,hema,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2599,Idus,idus,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2600,Kiro,kiro,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2601,Sair,sair,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2602,Tery,tery,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2603,Vear,vear,165,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2604,Ihor,ihor,164,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2605,Izza,izza,164,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2606,Kele,kele,164,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2607,Nini,nini,164,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2609,Rola,rola,164,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2610,Ruah,ruah,164,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2611,Arzu,arzu,163,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2612,Cote,cote,163,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2613,Gleb,gleb,162,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2614,Myli,myli,162,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2615,Zeal,zeal,162,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2616,Zhoe,zhoe,162,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2617,Jimy,jimy,161,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2618,Rewa,rewa,161,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2619,Saga,saga,161,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2620,Soua,soua,161,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2621,Zoii,zoii,161,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2622,Asmi,asmi,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2623,Dago,dago,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2624,Dwon,dwon,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2625,Eryx,eryx,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2626,Jonh,jonh,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2627,Octa,octa,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2628,Rahm,rahm,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2629,Syan,syan,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2630,Teva,teva,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2631,Wane,wane,160,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2632,Camp,camp,159,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2633,Taos,taos,159,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2634,Tkai,tkai,159,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2635,Zema,zema,159,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2636,Adar,adar,158,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2637,Ivry,ivry,158,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2638,Tank,tank,158,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2639,Arty,arty,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2640,Doha,doha,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2641,Enzi,enzi,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2642,Garo,garo,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2643,Ilee,ilee,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2644,Jams,jams,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2645,Kire,kire,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2646,Meba,meba,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2647,Naif,naif,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2648,Reni,reni,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2649,Zyad,zyad,157,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2650,Beva,beva,156,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2651,Irja,irja,156,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2652,Jnai,jnai,156,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2653,Pegi,pegi,156,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2654,Xana,xana,156,"U.S. SSA national baby-name data, 1880-2024 local mirror"
