rank,name,lowercase,ssa_us_count,source
1994,Loys,loys,332,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1995,Huel,huel,331,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1998,Cane,cane,329,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1999,Leng,leng,329,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2000,Adir,adir,328,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2001,Ayme,ayme,328,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2002,Beda,beda,328,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2003,Dicy,dicy,328,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2004,Sway,sway,328,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2006,Soni,soni,326,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2007,Sony,sony,326,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2008,Aivy,aivy,325,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2009,Poet,poet,325,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2010,Tavi,tavi,325,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2011,Bain,bain,324,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2012,Isys,isys,324,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2013,Paco,paco,324,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2015,Tene,tene,324,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2018,Seng,seng,323,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2019,Rhya,rhya,322,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2020,Ruta,ruta,322,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2023,Chao,chao,320,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2024,Harm,harm,320,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2025,Noya,noya,320,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2026,Eyla,eyla,319,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2027,Saki,saki,319,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2028,Wood,wood,319,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2029,Dong,dong,318,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2031,Tyee,tyee,318,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2032,Amyr,amyr,317,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2033,Arvo,arvo,317,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2034,Grae,grae,317,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2035,Keil,keil,317,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2036,Dang,dang,316,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2037,Vash,vash,316,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2038,Vonn,vonn,315,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2039,Nike,nike,314,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2040,Hava,hava,313,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2041,Aune,aune,312,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2042,Effa,effa,312,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2044,Gola,gola,311,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2045,Sims,sims,311,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2046,Reka,reka,309,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2047,Tong,tong,309,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2048,Yida,yida,309,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2051,Read,read,308,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2052,Etan,etan,307,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2053,Derl,derl,306,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2054,Dodd,dodd,306,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2055,Fong,fong,306,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2056,Jung,jung,306,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2057,Mako,mako,306,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2059,Odyn,odyn,305,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2060,Okie,okie,305,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2061,Esco,esco,304,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2062,Leza,leza,304,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2063,Novi,novi,304,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2065,Behr,behr,303,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2066,Audy,audy,302,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2067,Jden,jden,302,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2068,Json,json,302,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2070,Tawn,tawn,302,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2071,Alvy,alvy,301,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2072,Iroh,iroh,301,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2073,Jedi,jedi,301,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2074,Myna,myna,301,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2075,Edla,edla,300,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2076,Mava,mava,300,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2077,Witt,witt,300,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2078,Zuzu,zuzu,300,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2079,Ayde,ayde,299,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2080,Bary,bary,299,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2081,Dray,dray,299,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2082,Hyde,hyde,299,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2084,Ople,ople,298,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2085,Klye,klye,297,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2086,Treg,treg,297,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2088,Yena,yena,296,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2089,Nain,nain,294,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2090,Adri,adri,292,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2094,Yeva,yeva,292,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2095,Abhi,abhi,291,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2096,Aliz,aliz,291,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2097,Adib,adib,290,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2098,Tamu,tamu,290,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2099,Tyan,tyan,290,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2100,Yago,yago,290,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2101,Iley,iley,289,"U.S. SSA national baby-name data, 1880-2024 local mirror"
